Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
44,0,0,150,0,0,150,-92.687677,-36.978865,367.169423,127.256736,50.770607,399.503393,187.074254,74.635526,408.297151,217.557627,86.797235,352.191386,241.006376,96.152395,309.033106
45,0,0,150,0,0,150,-90.316868,-37.410471,368.092457,128.810343,53.354991,397.518571,188.40561,78.040158,405.521488,218.154733,90.362648,349.057819,241.038673,99.841487,305.624228
46,0,0,150,0,0,150,-87.943117,-37.78312,368.996447,130.292757,55.977853,395.510273,189.64561,81.477699,402.721147,218.658008,93.942335,345.906416,240.975237,103.530516,302.202777
47,0,0,150,0,0,150,-85.570115,-38.096502,369.880449,131.701818,58.634706,393.480879,190.792511,84.942357,399.899406,219.066892,97.530339,342.740836,240.816415,107.213401,298.772705
48,0,0,150,0,0,150,-83.201552,-38.350571,370.743597,133.035702,61.320914,391.432857,191.844996,88.428221,397.059643,219.381256,101.120668,339.564807,240.562994,110.884089,295.338009
49,0,0,150,0,0,150,-80.841101,-38.545543,371.585102,134.292925,64.031708,389.368762,192.802179,91.929286,394.205322,219.601404,104.707325,336.382115,240.216193,114.536585,291.902725
50,0,0,150,0,0,150,-78.492408,-38.681892,372.404256,135.472352,66.762214,387.291234,193.663604,95.439481,391.339994,219.728069,108.284327,333.196605,239.777657,118.164977,288.470922
51,0,0,150,0,0,150,-76.159076,-38.760349,373.200427,136.573192,69.507469,385.202992,194.429248,98.952692,388.467288,219.762405,111.845732,330.012171,239.249449,121.763455,285.046697
52,0,0,150,0,0,150,-73.844653,-38.781895,373.97306,137.595006,72.262442,383.106826,195.099516,102.462785,385.590905,219.705986,115.385665,326.83275,238.634041,125.326341,281.634169
53,0,0,150,0,0,150,-71.552619,-38.747754,374.721682,138.537701,75.022057,381.0056,195.675235,105.963638,382.714616,219.560791,118.898337,323.662318,237.934295,128.848106,278.237474
54,0,0,150,0,0,150,-69.286373,-38.65939,375.445892,139.401528,77.781211,378.90224,196.157652,109.449157,379.84225,219.329193,122.378072,320.504886,237.153455,132.323392,274.860759
55,0,0,150,0,0,150,-67.049225,-38.518496,376.145367,140.18708,80.534794,376.799731,196.548418,112.913304,376.977696,219.013951,125.819323,317.364488,236.29513,135.74703,271.508175
56,0,0,150,0,0,150,-64.844382,-38.326987,376.819859,140.895281,83.277709,374.701114,196.849583,116.350116,374.124887,218.61819,129.216692,314.245183,235.363273,139.114058,268.183872
