Step,Time (s),CRI Command
66,2.2000,CMD Move Joint 19.8922 -19.0617 110.7457 27.5528 72.1141 0.0000 0.0 0.0 0.0 62.0
67,2.2333,CMD Move Joint 20.0446 -18.6596 110.9472 27.8663 72.2001 0.0000 0.0 0.0 0.0 62.0
68,2.2667,CMD Move Joint 20.1964 -18.2590 111.1479 28.1786 72.2856 0.0000 0.0 0.0 0.0 62.0
69,2.3000,CMD Move Joint 20.3475 -17.8603 111.3477 28.4894 72.3709 0.0000 0.0 0.0 0.0 62.0
70,2.3333,CMD Move Joint 20.4978 -17.4636 111.5464 28.7987 72.4556 0.0000 0.0 0.0 0.0 62.0
71,2.3667,CMD Move Joint 20.6473 -17.0692 111.7441 29.1062 72.5399 0.0000 0.0 0.0 0.0 62.0
72,2.4000,CMD Move Joint 20.7958 -16.6772 111.9404 29.4118 72.6237 0.0000 0.0 0.0 0.0 62.0
73,2.4333,CMD Move Joint 20.9433 -16.2880 112.1355 29.7153 72.7068 0.0000 0.0 0.0 0.0 62.0
74,2.4667,CMD Move Joint 21.0897 -15.9017 112.3290 30.0165 72.7894 0.0000 0.0 0.0 0.0 62.0
75,2.5000,CMD Move Joint 21.2349 -15.5186 112.5210 30.3152 72.8713 0.0000 0.0 0.0 0.0 62.0
76,2.5333,CMD Move Joint 21.3788 -15.1388 112.7113 30.6112 72.9524 0.0000 0.0 0.0 0.0 62.0
77,2.5667,CMD Move Joint 21.5213 -14.7627 112.8997 30.9045 73.0328 0.0000 0.0 0.0 0.0 62.0
78,2.6000,CMD Move Joint 21.6624 -14.3904 113.0862 31.1947 73.1124 0.0000 0.0 0.0 0.0 62.0
79,2.6333,CMD Move Joint 21.8020 -14.0222 113.2707 31.4818 73.1910 0.0000 0.0 0.0 0.0 62.0
80,2.6667,CMD Move Joint 21.9399 -13.6583 113.4531 31.7655 73.2688 0.0000 0.0 0.0 0.0 62.0
81,2.7000,CMD Move Joint 22.0761 -13.2989 113.6331 32.0457 73.3456 0.0000 0.0 0.0 0.0 62.0
82,2.7333,CMD Move Joint 22.2105 -12.9443 113.8108 32.3222 73.4214 0.0000 0.0 0.0 0.0 62.0
83,2.7667,CMD Move Joint 22.3430 -12.5946 113.9860 32.5949 73.4961 0.0000 0.0 0.0 0.0 62.0
84,2.8000,CMD Move Joint 22.4735 -12.2501 114.1586 32.8634 73.5697 0.0000 0.0 0.0 0.0 62.0
85,2.8333,CMD Move Joint 22.6020 -11.9111 114.3285 33.1278 73.6422 0.0000 0.0 0.0 0.0 62.0
86,2.8667,CMD Move Joint 22.7284 -11.5777 114.4956 33.3877 73.7134 0.0000 0.0 0.0 0.0 62.0
87,2.9000,CMD Move Joint 22.8525 -11.2501 114.6597 33.6430 73.7834 0.0000 0.0 0.0 0.0 62.0
88,2.9333,CMD Move Joint 22.9743 -10.9287 114.8207 33.8936 73.8521 0.0000 0.0 0.0 0.0 62.0
89,2.9667,CMD Move Joint 23.0937 -10.6136 114.9786 34.1393 73.9194 0.0000 0.0 0.0 0.0 62.0
90,3.0000,CMD Move Joint 23.2106 -10.3051 115.1332 34.3798 73.9854 0.0000 0.0 0.0 0.0 62.0
91,3.0333,CMD Move Joint 23.3250 -10.0034 115.2844 34.6151 74.0499 0.0000 0.0 0.0 0.0 62.0
92,3.0667,CMD Move Joint 23.4367 -9.7086 115.4320 34.8449 74.1128 0.0000 0.0 0.0 0.0 62.0
93,3.1000,CMD Move Joint 23.5456 -9.4211 115.5761 35.0690 74.1743 0.0000 0.0 0.0 0.0 62.0
94,3.1333,CMD Move Joint 23.6517 -9.1411 115.7164 35.2874 74.2341 0.0000 0.0 0.0 0.0 62.0
95,3.1667,CMD Move Joint 23.7550 -8.8687 115.8529 35.4997 74.2923 0.0000 0.0 0.0 0.0 62.0
96,3.2000,CMD Move Joint 23.8552 -8.6042 115.9854 35.7059 74.3488 0.0000 0.0 0.0 0.0 62.0
97,3.2333,CMD Move Joint 23.9523 -8.3479 116.1138 35.9057 74.4036 0.0000 0.0 0.0 0.0 62.0
98,3.2667,CMD Move Joint 24.0463 -8.1000 116.2380 36.0991 74.4566 0.0000 0.0 0.0 0.0 62.0
99,3.3000,CMD Move Joint 24.1370 -7.8606 116.3580 36.2857 74.5077 0.0000 0.0 0.0 0.0 62.0
