Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
51,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-80.335285,-43.813869,370.788557,129.275983,70.505519,360.055720,186.283231,101.596566,357.136748,227.248409,123.938467,311.885299,258.760085,141.124545,277.076492
52,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-77.387516,-43.581272,371.884756,130.564248,73.528087,359.138695,187.120167,105.377913,355.672193,226.839120,127.745894,309.335618,257.392160,144.952034,273.692099
53,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-74.470696,-43.272753,372.940764,131.782049,76.574711,358.196590,187.875892,109.169209,354.186668,226.342793,131.521205,306.798001,255.932717,148.715049,270.345181
54,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-71.589511,-42.890675,373.956094,132.928275,79.639927,357.231067,188.550267,112.964150,352.682420,225.762463,135.258704,304.275754,254.387229,152.408360,267.039857
55,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-68.748495,-42.437734,374.930396,134.002148,82.718138,356.243915,189.143536,116.756346,351.161818,225.101530,138.952843,301.772162,252.761526,156.027072,263.780119
56,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-65.952016,-41.916940,375.863458,135.003223,85.803625,355.237045,189.656322,120.539344,349.627351,224.363745,142.598245,299.290489,251.061763,159.566631,260.569827
57,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-63.204260,-41.331606,376.755198,135.931397,88.890574,354.212487,190.089630,124.306649,348.081624,223.553190,146.189710,296.833973,249.294391,163.022835,257.412703
58,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-60.509218,-40.685328,377.605665,136.786900,91.973093,353.172388,190.444841,128.051743,346.527355,222.674257,149.722233,294.405818,247.466116,166.391840,254.312329
59,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-57.870674,-39.981968,378.415033,137.570302,95.045228,352.119007,190.723706,131.768106,344.967368,221.731627,153.191007,292.009195,245.583874,169.670162,251.272138
60,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-55.292194,-39.225636,379.183601,138.282502,98.100991,351.054709,190.928340,135.449237,343.404592,220.730248,156.591441,289.647235,243.654793,172.854675,248.295422
61,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-52.777119,-38.420668,379.911783,138.924724,101.134371,349.981961,191.061209,139.088671,341.842051,219.675314,159.919157,287.323028,241.686164,175.942609,245.385319
62,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-50.328559,-37.571610,380.600109,139.498511,104.139354,348.903326,191.125121,142.679993,340.282861,218.572239,163.169998,285.039623,239.685406,178.931541,242.544824
63,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-47.949387,-36.683190,381.249216,140.005713,107.109944,347.821459,191.123209,146.216863,338.730228,217.426634,166.340030,282.800021,237.660037,181.819390,239.776786
64,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-45.642242,-35.760304,381.859842,140.448474,110.040172,346.739100,191.058920,149.693021,337.187433,216.244287,169.425540,280.607180,235.617646,184.604401,237.083909
65,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-43.409522,-34.807990,382.432823,140.829221,112.924120,345.659066,190.935992,153.102309,335.657835,215.031135,172.423036,278.464011,233.565861,187.285134,234.468761
